# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|---:|-------:|------:|-------:|-----:|-----------------:|--------------:|--------------:|---------------:|------:|-------------:|------------:|
|   0|      37|      0|    0.00|  0.00|                 0|             30|            146|              48|     37|            37|            1|
|   1|      45|      0|    0.00|  0.00|                 0|             32|            178|              64|     45|            45|            1|
|   2|      20|      0|    0.00|  0.00|                 0|             14|             78|              32|     20|            20|            1|
|   3|      37|      0|    0.00|  0.00|                 0|             19|            146|              54|     37|            37|            1|
|   4|      23|      0|    0.00|  0.00|                 0|             17|             90|              26|     23|            23|            1|
|   5|      22|      0|    0.00|  0.00|                 0|             15|             86|              36|     22|            22|            1|
|   6|      17|      0|    0.00|  0.00|                 0|             14|             66|              22|     17|            17|            1|
|   7|      28|      0|    0.07|  0.02|                 2|             27|            110|              36|     28|            28|            1|
|   8|      34|      0|    0.00|  0.00|                 0|             29|            134|              52|     34|            34|            1|
|   9|      23|      0|    0.05|  0.01|                 1|             22|             90|              34|     23|            23|            1|
|  10|      30|      0|    0.04|  0.01|                 1|             26|            118|              40|     30|            30|            1|
|  11|      29|      0|    0.00|  0.00|                 0|             26|            114|              42|     29|            29|            1|
|  12|      23|      0|    0.04|  0.01|                 1|             23|             90|              26|     23|            23|            1|
|  13|      13|      0|    0.00|  0.00|                 0|              8|             50|              12|     13|            13|            1|
|  14|      20|      0|    0.00|  0.00|                 0|             14|             78|              28|     20|            20|            1|
|  15|      42|      0|    0.03|  0.01|                 1|             36|            166|              64|     42|            42|            1|
|  16|      44|      0|    0.00|  0.00|                 0|             32|            174|              68|     44|            44|            1|
|  17|      27|      0|    0.00|  0.00|                 0|             22|            106|              42|     27|            27|            1|
|  18|      26|      0|    0.00|  0.00|                 0|             25|            102|              34|     26|            26|            1|
|  19|      15|      0|    0.00|  0.00|                 0|              9|             58|              22|     15|            15|            1|
|  20|       9|      0|    0.00|  0.00|                 0|             11|             34|              14|      9|             9|            1|
|  21|      42|      0|    0.00|  0.00|                 0|             36|            166|              60|     42|            42|            1|
|  22|      22|      0|    0.00|  0.00|                 0|             22|             86|              28|     22|            22|            1|
|  23|      17|      0|    0.00|  0.00|                 0|             12|             66|              20|     17|            17|            1|
|  24|      10|      0|    0.12|  0.03|                 1|              8|             38|              14|     10|            10|            1|
|  25|      22|      0|    0.00|  0.00|                 0|             14|             86|              34|     22|            22|            1|
|  26|      17|      0|    0.00|  0.00|                 0|             13|             66|              16|     17|            17|            1|
|  27|      14|      0|    0.12|  0.02|                 1|              8|             54|              12|     14|            14|            1|
|  28|      21|      0|    0.00|  0.00|                 0|             19|             82|              28|     21|            21|            1|
|  29|      18|      0|    0.00|  0.00|                 0|              9|             70|              20|     18|            18|            1|
|  30|      26|      0|    0.06|  0.01|                 1|             18|            102|              32|     26|            26|            1|
|  31|       8|      0|    0.00|  0.00|                 0|              5|             30|               6|      8|             8|            1|
|  32|      17|      0|    0.00|  0.00|                 0|             13|             66|              26|     17|            17|            1|
|  33|      27|      0|    0.00|  0.00|                 0|             19|            106|              36|     27|            27|            1|
|  34|      21|      0|    0.00|  0.00|                 0|             14|             82|              32|     21|            21|            1|
|  35|      32|      0|    0.03|  0.01|                 1|             29|            126|              40|     32|            32|            1|
|  36|      21|      0|    0.00|  0.00|                 0|             18|             82|              24|     21|            21|            1|
|  37|       9|      0|    0.00|  0.00|                 0|              7|             34|              12|      9|             9|            1|
|  38|      12|      0|    0.00|  0.00|                 0|             13|             46|              16|     12|            12|            1|
|  39|      11|      0|    0.00|  0.00|                 0|             11|             42|              12|     11|            11|            1|
|  40|      24|      0|    0.09|  0.02|                 2|             22|             94|              38|     24|            24|            1|
|  41|      40|      0|    0.00|  0.00|                 0|             33|            158|              68|     40|            40|            1|
|  42|      13|      0|    0.10|  0.02|                 1|             10|             50|              16|     13|            13|            1|
|  43|      14|      0|    0.14|  0.04|                 2|             14|             54|              20|     14|            14|            1|
|  44|      40|      0|    0.06|  0.01|                 2|             32|            158|              56|     40|            40|            1|
|  45|      20|      0|    0.05|  0.01|                 1|             19|             78|              22|     20|            20|            1|
|  46|      32|      0|    0.00|  0.00|                 0|             17|            126|              42|     32|            32|            1|
|  47|      29|      0|    0.04|  0.01|                 1|             24|            114|              32|     29|            29|            1|
|  48|      19|      0|    0.05|  0.01|                 1|             19|             74|              28|     19|            19|            1|
|  49|      13|      0|    0.00|  0.00|                 0|             11|             50|              14|     13|            13|            1|
|  50|      11|      0|    0.00|  0.00|                 0|              9|             42|              14|     11|            11|            1|
|  51|      21|      0|    0.10|  0.02|                 2|             21|             82|              28|     21|            21|            1|
|  52|      41|      0|    0.10|  0.02|                 4|             42|            162|              74|     41|            41|            1|
|  53|      18|      0|    0.00|  0.00|                 0|             13|             70|              22|     18|            18|            1|
|  54|      11|      0|    0.00|  0.00|                 0|              9|             42|              12|     11|            11|            1|
|  55|      23|      0|    0.11|  0.02|                 2|             19|             90|              30|     23|            23|            1|
|  56|      23|      0|    0.06|  0.01|                 1|             17|             90|              34|     23|            23|            1|
|  57|      33|      0|    0.03|  0.01|                 1|             32|            130|              52|     33|            33|            1|
|  58|      28|      0|    0.00|  0.00|                 0|             20|            110|              38|     28|            28|            1|
|  59|      22|      0|    0.06|  0.01|                 1|             16|             86|              38|     22|            22|            1|
|  60|      14|      0|    0.00|  0.00|                 0|             14|             54|              18|     14|            14|            1|
