# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|---:|-------:|------:|-------:|-----:|-----------------:|--------------:|--------------:|---------------:|------:|-------------:|------------:|
|   0|      37|      0|    0.83|  0.86|                25|             30|             29|               3|     37|            37|            1|
|   1|      45|      0|    0.91|  0.85|                29|             32|             34|               2|     45|            45|            1|
|   2|      20|      0|    0.64|  0.60|                 9|             14|             15|               2|     20|            20|            1|
|   3|      37|      0|    0.95|  0.90|                18|             19|             20|               0|     37|            37|            1|
|   4|      23|      0|    0.82|  0.88|                14|             17|             16|               2|     23|            23|            1|
|   5|      22|      0|    1.00|  1.00|                15|             15|             15|               0|     22|            22|            1|
|   6|      17|      0|    0.93|  0.93|                13|             14|             14|               0|     17|            17|            1|
|   7|      28|      0|    0.70|  0.73|                19|             27|             26|               6|     28|            28|            1|
|   8|      34|      0|    0.79|  0.82|                23|             29|             28|               4|     34|            34|            1|
|   9|      23|      0|    1.00|  1.00|                22|             22|             22|               0|     23|            23|            1|
|  10|      30|      0|    1.00|  0.96|                26|             26|             27|               0|     30|            30|            1|
|  11|      29|      0|    0.88|  0.96|                23|             26|             24|               0|     29|            29|            1|
|  12|      23|      0|    0.83|  0.83|                19|             23|             23|               3|     23|            23|            1|
|  13|      13|      0|    1.00|  1.00|                 8|              8|              8|               0|     13|            13|            1|
|  14|      20|      0|    0.86|  0.92|                12|             14|             13|               0|     20|            20|            1|
|  15|      42|      0|    0.83|  0.88|                30|             36|             34|               3|     42|            42|            1|
|  16|      44|      0|    0.66|  0.60|                21|             32|             35|               9|     44|            44|            1|
|  17|      27|      0|    0.86|  0.79|                19|             22|             24|               2|     27|            27|            1|
|  18|      26|      0|    0.76|  0.76|                19|             25|             25|               4|     26|            26|            1|
|  19|      15|      0|    0.89|  1.00|                 8|              9|              8|               0|     15|            15|            1|
|  20|       9|      0|    0.91|  1.00|                10|             11|             10|               0|      9|             9|            1|
|  21|      42|      0|    0.69|  0.76|                25|             36|             33|               3|     42|            42|            1|
|  22|      22|      0|    0.82|  0.75|                18|             22|             24|               4|     22|            22|            1|
|  23|      17|      0|    1.00|  0.92|                12|             12|             13|               0|     17|            17|            1|
|  24|      10|      0|    0.88|  0.88|                 7|              8|              8|               0|     10|            10|            1|
